submission_date,state,new_case
10/25/2021,WA,5804
10/25/2021,CA,2944
10/25/2021,ME,881
10/25/2021,GU,152
10/25/2021,IN,3516
10/25/2021,VI,11
10/25/2021,ID,1090
10/25/2021,MO,977
10/25/2021,IL,5140
10/25/2021,DC,291
10/25/2021,KY,985
10/25/2021,RI,463
10/25/2021,MN,2981
10/25/2021,SC,702
10/25/2021,VA,3495
10/25/2021,LA,878
10/25/2021,FSM,0
10/24/2021,CA,5211
10/24/2021,NC,0
10/24/2021,NH,0
10/24/2021,VT,0
10/24/2021,IL,0
10/24/2021,MT,0
10/24/2021,ND,189
10/24/2021,IN,0
10/24/2021,AL,113
10/24/2021,WA,0
10/24/2021,NJ,787
10/24/2021,OR,0
10/24/2021,LA,0
10/24/2021,AZ,1484
10/24/2021,UT,0
10/24/2021,CO,0
10/24/2021,AR,246
10/24/2021,FL,945
10/24/2021,NYC,2456
10/24/2021,OK,0
10/24/2021,MP,1
10/24/2021,AS,0
10/24/2021,HI,153
10/24/2021,NM,0
10/24/2021,PA,3414
10/24/2021,NY,2152
10/24/2021,SD,0
10/24/2021,AK,0
10/24/2021,GA,0
10/24/2021,MA,0
10/24/2021,KS,0
10/24/2021,TX,1516
10/24/2021,PW,0
10/24/2021,PR,56
10/24/2021,WV,642
10/24/2021,IA,0
10/24/2021,RMI,0
10/24/2021,TN,0
10/24/2021,OH,2540
10/24/2021,ID,242
10/24/2021,DE,296
10/24/2021,MI,0
10/24/2021,MO,1118
10/24/2021,MS,0
10/24/2021,ME,0
10/24/2021,NE,0
10/24/2021,NV,0
10/24/2021,WI,0
10/24/2021,CT,0
10/24/2021,MD,717
10/24/2021,GU,128
10/24/2021,VI,0
10/24/2021,MN,0
10/24/2021,RI,0
10/24/2021,KY,480
10/24/2021,FSM,0
10/24/2021,SC,837
10/24/2021,DC,0
10/24/2021,VA,0
10/24/2021,WY,0
10/23/2021,NV,0
10/23/2021,IL,0
10/23/2021,CT,0
10/23/2021,MT,0
10/23/2021,ID,725
10/23/2021,CA,5570
10/23/2021,MI,0
10/23/2021,GU,35
10/23/2021,IN,0
10/23/2021,ME,98
10/23/2021,MD,0
10/23/2021,MS,0
10/23/2021,NC,0
10/23/2021,NH,0
10/23/2021,LA,0
10/23/2021,SC,827
10/23/2021,VA,0
10/23/2021,FSM,0
10/23/2021,WY,0
10/23/2021,MN,0
10/23/2021,RI,0
10/23/2021,TX,3771
10/23/2021,WV,873
10/23/2021,HI,170
10/23/2021,CO,0
10/23/2021,AS,0
10/23/2021,PR,139
10/23/2021,MP,0
10/23/2021,SD,0
10/23/2021,TN,0
10/23/2021,GA,0
10/23/2021,KS,0
10/23/2021,MA,0
10/23/2021,AK,0
10/23/2021,FL,1362
10/23/2021,NYC,0
10/23/2021,UT,0
10/23/2021,OK,0
10/23/2021,PW,0
10/23/2021,AR,440
10/23/2021,PA,4573
10/23/2021,NM,0
10/23/2021,NY,3464
10/23/2021,RMI,0
10/23/2021,IA,0
10/23/2021,OH,3466
10/23/2021,NE,0
10/23/2021,WI,0
10/23/2021,VI,8
10/23/2021,ND,0
10/23/2021,AL,167
10/23/2021,DE,341
10/23/2021,VT,0
10/23/2021,WA,0
10/23/2021,MO,0
10/23/2021,OR,0
10/23/2021,KY,790
10/23/2021,AZ,3144
10/23/2021,NJ,1140
10/23/2021,DC,0
10/22/2021,WA,2479
10/22/2021,MO,1187
10/22/2021,MS,389
10/22/2021,VT,0
10/22/2021,IL,2969
10/22/2021,ND,471
10/22/2021,ID,1480
10/22/2021,CA,5744
10/22/2021,ME,488
10/22/2021,MI,4357
10/22/2021,VI,8
10/22/2021,MT,1078
10/22/2021,LA,681
10/22/2021,WY,512
10/22/2021,NJ,1706
10/22/2021,DC,114
10/22/2021,FSM,0
10/22/2021,OR,1465
10/22/2021,AZ,3074
10/22/2021,KS,947
10/22/2021,UT,1619
10/22/2021,PW,0
10/22/2021,WV,1004
10/22/2021,NYC,0
10/22/2021,AR,622
10/22/2021,CO,2846
10/22/2021,NY,2735
10/22/2021,PA,4496
10/22/2021,IA,1221
10/22/2021,GA,1536
10/22/2021,AK,834
10/22/2021,MP,0
10/22/2021,AS,0
10/22/2021,HI,118
10/22/2021,TX,5168
10/22/2021,PR,130
10/22/2021,MA,1454
10/22/2021,FL,2243
10/22/2021,OK,763
10/22/2021,SD,337
10/22/2021,NM,982
10/22/2021,OH,4078
10/22/2021,TN,1682
10/22/2021,RMI,0
10/22/2021,NV,822
10/22/2021,NC,2609
10/22/2021,NE,0
10/22/2021,IN,1884
10/22/2021,GU,36
10/22/2021,DE,394
10/22/2021,NH,535
10/22/2021,MD,910
10/22/2021,CT,453
10/22/2021,WI,2412
10/22/2021,AL,320
10/22/2021,SC,1069
10/22/2021,KY,1105
10/22/2021,MN,2134
10/22/2021,RI,194
10/22/2021,VA,1749
10/21/2021,ME,575
10/21/2021,ID,1328
10/21/2021,MS,422
10/21/2021,CT,410
10/21/2021,IN,2150
10/21/2021,DE,379
10/21/2021,MT,976
10/21/2021,VT,299
10/21/2021,MO,1142
10/21/2021,NE,474
10/21/2021,CA,6078
10/21/2021,MI,4821
10/21/2021,AL,446
10/21/2021,ND,567
10/21/2021,LA,923
10/21/2021,OR,1380
10/21/2021,AZ,2495
10/21/2021,WY,655
10/21/2021,KY,1254
10/21/2021,TX,4310
10/21/2021,PR,131
10/21/2021,AR,506
10/21/2021,OK,1049
10/21/2021,HI,142
10/21/2021,UT,2340
10/21/2021,CO,3397
10/21/2021,SD,417
10/21/2021,OH,4084
10/21/2021,RMI,0
10/21/2021,PA,4998
10/21/2021,WV,1100
10/21/2021,FL,2069
10/21/2021,MP,1
10/21/2021,GA,1487
10/21/2021,AS,1
10/21/2021,KS,946
10/21/2021,PW,0
10/21/2021,NYC,914
10/21/2021,MA,1381
10/21/2021,AK,1000
10/21/2021,NM,1132
10/21/2021,IA,1219
10/21/2021,NY,3178
10/21/2021,TN,1587
10/21/2021,NC,3003
10/21/2021,VI,19
10/21/2021,NH,640
10/21/2021,MD,863
10/21/2021,WI,2597
10/21/2021,IL,2146
10/21/2021,NV,719
10/21/2021,WA,3154
10/21/2021,GU,93
10/21/2021,FSM,0
10/21/2021,DC,74
10/21/2021,SC,891
10/21/2021,VA,1655
10/21/2021,MN,2351
10/21/2021,NJ,1468
10/21/2021,RI,232
10/20/2021,MT,1245
10/20/2021,NE,802
10/20/2021,NV,716
10/20/2021,WI,2510
10/20/2021,ND,536
10/20/2021,WA,2453
10/20/2021,MD,1069
10/20/2021,IL,2447
10/20/2021,ME,554
10/20/2021,AL,494
10/20/2021,NH,575
10/20/2021,NC,2610
10/20/2021,MS,0
10/20/2021,VI,14
10/20/2021,AZ,1991
10/20/2021,DC,55
10/20/2021,VA,1779
10/20/2021,FSM,0
10/20/2021,SC,859
10/20/2021,LA,495
10/20/2021,HI,134
10/20/2021,PR,119
10/20/2021,GA,1682
10/20/2021,UT,1410
10/20/2021,OK,1148
10/20/2021,WV,1012
10/20/2021,AS,0
10/20/2021,AK,805
10/20/2021,PW,0
10/20/2021,TN,1926
10/20/2021,SD,466
10/20/2021,OH,4574
10/20/2021,RMI,0
10/20/2021,MP,0
10/20/2021,TX,5328
10/20/2021,CO,2252
10/20/2021,FL,2453
10/20/2021,KS,1061
10/20/2021,NYC,1136
10/20/2021,MA,1470
10/20/2021,AR,672
10/20/2021,PA,3584
10/20/2021,IA,287
10/20/2021,NM,629
10/20/2021,NY,3537
10/20/2021,GU,103
10/20/2021,DE,293
10/20/2021,MO,1178
10/20/2021,VT,94
10/20/2021,ID,1549
10/20/2021,CT,384
10/20/2021,IN,1950
10/20/2021,MI,3940
10/20/2021,CA,6875
10/20/2021,MN,1846
10/20/2021,NJ,1106
10/20/2021,KY,1384
10/20/2021,OR,1313
10/20/2021,WY,440
10/20/2021,RI,257
10/19/2021,GU,122
10/19/2021,NH,377
10/19/2021,DE,189
10/19/2021,ND,578
10/19/2021,NE,1360
10/19/2021,ME,648
10/19/2021,IL,2071
10/19/2021,MD,717
10/19/2021,NC,1374
10/19/2021,IN,1534
10/19/2021,ID,1464
10/19/2021,WI,1943
10/19/2021,MO,1201
10/19/2021,WA,1856
10/19/2021,KY,1502
10/19/2021,WY,402
10/19/2021,RI,216
10/19/2021,LA,581
10/19/2021,OR,1342
10/19/2021,MP,0
10/19/2021,GA,1679
10/19/2021,TX,6746
10/19/2021,HI,64
10/19/2021,UT,1343
10/19/2021,FL,2661
10/19/2021,PR,127
10/19/2021,CO,1983
10/19/2021,NM,516
10/19/2021,PA,3899
10/19/2021,SD,738
10/19/2021,IA,2210
10/19/2021,NY,1850
10/19/2021,WV,757
10/19/2021,KS,1060
10/19/2021,AK,694
10/19/2021,AS,0
10/19/2021,PW,0
10/19/2021,AR,661
10/19/2021,OK,895
10/19/2021,NYC,1461
10/19/2021,MA,2045
10/19/2021,OH,3617
10/19/2021,TN,1111
10/19/2021,RMI,0
10/19/2021,VI,6
10/19/2021,MT,1327
10/19/2021,AL,554
10/19/2021,VT,139
10/19/2021,CA,3313
10/19/2021,CT,709
10/19/2021,NV,1000
10/19/2021,MI,4849
10/19/2021,MS,448
10/19/2021,FSM,0
10/19/2021,MN,5663
10/19/2021,DC,40
10/19/2021,SC,617
10/19/2021,AZ,1888
10/19/2021,VA,1822
10/19/2021,NJ,1238
10/18/2021,NE,155
10/18/2021,MS,1278
10/18/2021,DE,295
10/18/2021,AL,733
10/18/2021,NV,469
10/18/2021,CT,383
10/18/2021,IL,1834
10/18/2021,IN,1274
10/18/2021,ID,1290
10/18/2021,RI,52
10/18/2021,WY,344
10/18/2021,MN,951
10/18/2021,KY,1327
10/18/2021,LA,361
10/18/2021,AZ,1886
10/18/2021,PW,0
10/18/2021,GA,1106
10/18/2021,MP,0
10/18/2021,NYC,1754
10/18/2021,AS,0
10/18/2021,AR,142
10/18/2021,CO,1769
10/18/2021,FL,2163
10/18/2021,OK,951
10/18/2021,AK,691
10/18/2021,TX,2252
10/18/2021,UT,1012
10/18/2021,TN,540
10/18/2021,NY,2316
10/18/2021,NM,627
10/18/2021,SD,120
10/18/2021,IA,631
10/18/2021,KS,508
10/18/2021,HI,109
10/18/2021,WV,689
10/18/2021,PR,3
10/18/2021,MA,999
10/18/2021,OH,2810
10/18/2021,RMI,0
10/18/2021,PA,2902
10/18/2021,MI,3115
10/18/2021,ND,923
10/18/2021,GU,163
10/18/2021,MT,426
10/18/2021,WI,1422
10/18/2021,ME,440
10/18/2021,MD,1257
10/18/2021,CA,3562
10/18/2021,VT,238
10/18/2021,NH,540
10/18/2021,MO,983
10/18/2021,NC,2311
10/18/2021,WA,1851
10/18/2021,VI,3
10/18/2021,VA,1736
10/18/2021,SC,941
10/18/2021,OR,1088
10/18/2021,NJ,767
10/18/2021,FSM,0
10/18/2021,DC,111
10/17/2021,MI,3113
10/17/2021,AL,384
10/17/2021,CA,5484
10/17/2021,IN,1274
10/17/2021,NH,538
10/17/2021,NE,152
10/17/2021,CT,382
10/17/2021,WA,1851
10/17/2021,DE,293
10/17/2021,OR,1086
10/17/2021,FSM,0
10/17/2021,NJ,896
10/17/2021,RI,242
10/17/2021,DC,109
10/17/2021,MN,950
10/17/2021,WY,342
10/17/2021,SC,1107
10/17/2021,OK,947
10/17/2021,GA,1105
10/17/2021,KS,506
10/17/2021,AR,383
10/17/2021,UT,1012
10/17/2021,PW,0
10/17/2021,FL,1833
10/17/2021,TX,630
10/17/2021,AS,0
10/17/2021,WV,859
10/17/2021,MP,7
10/17/2021,TN,139
10/17/2021,IA,627
10/17/2021,SD,117
10/17/2021,PA,3821
10/17/2021,OH,2515
10/17/2021,AK,691
10/17/2021,MA,996
10/17/2021,CO,1767
10/17/2021,HI,135
10/17/2021,NYC,832
10/17/2021,PR,33
10/17/2021,NY,3149
10/17/2021,RMI,0
10/17/2021,NM,625
10/17/2021,IL,1832
10/17/2021,MT,423
10/17/2021,ND,108
10/17/2021,NV,465
10/17/2021,MD,436
10/17/2021,NC,2311
10/17/2021,VT,234
10/17/2021,ID,305
10/17/2021,VI,2
10/17/2021,ME,439
10/17/2021,MS,258
10/17/2021,WI,1421
10/17/2021,MO,411
10/17/2021,GU,91
10/17/2021,KY,546
10/17/2021,VA,1733
10/17/2021,AZ,1886
10/17/2021,LA,358
10/16/2021,GU,54
10/16/2021,WA,1851
10/16/2021,IL,1832
10/16/2021,NV,465
10/16/2021,MS,256
10/16/2021,CA,5577
10/16/2021,WI,2545
10/16/2021,DE,494
10/16/2021,ME,48
10/16/2021,IN,1274
10/16/2021,VT,234
10/16/2021,AL,375
10/16/2021,MI,3113
10/16/2021,NC,2311
10/16/2021,WY,342
10/16/2021,MN,950
10/16/2021,LA,358
10/16/2021,DC,109
10/16/2021,AZ,2482
10/16/2021,MA,996
10/16/2021,MP,0
10/16/2021,WV,1172
10/16/2021,PR,85
10/16/2021,CO,1767
10/16/2021,TX,5065
10/16/2021,HI,135
10/16/2021,SD,117
10/16/2021,NM,625
10/16/2021,TN,809
10/16/2021,OH,3709
10/16/2021,IA,627
10/16/2021,NY,4018
10/16/2021,AR,562
10/16/2021,AK,691
10/16/2021,NYC,831
10/16/2021,AS,0
10/16/2021,KS,506
10/16/2021,GA,1105
10/16/2021,PW,0
10/16/2021,UT,1012
10/16/2021,OK,947
10/16/2021,FL,1510
10/16/2021,PA,4485
10/16/2021,RMI,0
10/16/2021,MO,717
10/16/2021,MD,435
10/16/2021,NH,538
10/16/2021,VI,29
10/16/2021,NE,152
10/16/2021,CT,382
10/16/2021,MT,423
10/16/2021,ND,108
10/16/2021,ID,782
10/16/2021,NJ,1452
10/16/2021,VA,1733
10/16/2021,SC,1303
10/16/2021,KY,703
10/16/2021,RI,360
10/16/2021,FSM,0
10/16/2021,OR,1086
10/15/2021,MS,256
10/15/2021,ND,522
10/15/2021,NH,626
10/15/2021,IL,2413
10/15/2021,MT,1142
10/15/2021,IN,2262
10/15/2021,VI,25
10/15/2021,MO,1061
10/15/2021,WA,2679
10/15/2021,ID,1520
10/15/2021,SC,1399
10/15/2021,LA,559
10/15/2021,DC,124
10/15/2021,OR,1150
10/15/2021,NJ,1383
10/15/2021,AZ,2399
10/15/2021,RI,306
10/15/2021,FSM,0
10/15/2021,WY,473
10/15/2021,UT,1493
10/15/2021,NYC,831
10/15/2021,OK,1146
10/15/2021,WV,1371
10/15/2021,PR,88
10/15/2021,KS,910
10/15/2021,MP,0
10/15/2021,AK,968
10/15/2021,HI,151
10/15/2021,MA,1649
10/15/2021,IA,1229
10/15/2021,OH,4937
10/15/2021,TN,1525
10/15/2021,PA,5725
10/15/2021,TX,6033
10/15/2021,AR,714
10/15/2021,FL,2636
10/15/2021,CO,2850
10/15/2021,PW,0
10/15/2021,GA,1905
10/15/2021,AS,0
10/15/2021,SD,318
10/15/2021,RMI,0
10/15/2021,NY,4307
10/15/2021,NM,801
10/15/2021,AL,633
10/15/2021,ME,496
10/15/2021,NE,661
10/15/2021,GU,51
10/15/2021,CT,494
10/15/2021,NC,3182
10/15/2021,MI,5469
10/15/2021,CA,5993
10/15/2021,MD,936
10/15/2021,WI,2740
10/15/2021,VT,234
10/15/2021,DE,442
10/15/2021,NV,521
10/15/2021,KY,1387
10/15/2021,VA,1359
10/15/2021,MN,3341
10/14/2021,NV,707
10/14/2021,NH,648
10/14/2021,MO,1469
10/14/2021,ND,560
10/14/2021,MT,1287
10/14/2021,VT,131
10/14/2021,AL,733
10/14/2021,ME,551
10/14/2021,MS,411
10/14/2021,CA,6237
10/14/2021,GU,105
10/14/2021,WI,2916
10/14/2021,NE,701
10/14/2021,IN,2619
10/14/2021,MN,2916
10/14/2021,KY,1585
10/14/2021,WY,605
10/14/2021,OR,1136
10/14/2021,DC,102
10/14/2021,RI,310
10/14/2021,LA,842
10/14/2021,AZ,2386
10/14/2021,VA,2357
10/14/2021,FSM,0
10/14/2021,KS,910
10/14/2021,WV,1264
10/14/2021,AK,959
10/14/2021,IA,1227
10/14/2021,NM,876
10/14/2021,RMI,0
10/14/2021,SD,341
10/14/2021,OH,5143
10/14/2021,TX,5852
10/14/2021,FL,2880
10/14/2021,MA,1789
10/14/2021,UT,1253
10/14/2021,MP,0
10/14/2021,AS,0
10/14/2021,PW,0
10/14/2021,GA,2102
10/14/2021,NYC,2026
10/14/2021,AR,781
10/14/2021,CO,3179
10/14/2021,OK,1180
10/14/2021,HI,156
10/14/2021,PR,104
10/14/2021,PA,5253
10/14/2021,NY,3345
10/14/2021,TN,1634
10/14/2021,DE,494
10/14/2021,WA,2853
10/14/2021,NC,3761
10/14/2021,IL,2481
10/14/2021,MD,1068
10/14/2021,ID,1935
10/14/2021,MI,4520
10/14/2021,CT,908
10/14/2021,VI,42
10/14/2021,NJ,1638
10/14/2021,SC,1372
10/13/2021,MT,1344
10/13/2021,VT,297
10/13/2021,ME,802
10/13/2021,MO,1459
10/13/2021,IL,2913
10/13/2021,NH,544
10/13/2021,WI,2904
10/13/2021,NC,3239
10/13/2021,NE,739
10/13/2021,WA,3067
10/13/2021,CT,240
10/13/2021,WY,439
10/13/2021,AZ,2319
10/13/2021,OR,1136
10/13/2021,AK,1205
10/13/2021,KS,1061
10/13/2021,WV,1130
10/13/2021,MA,1763
10/13/2021,NYC,1243
10/13/2021,UT,1845
10/13/2021,FL,3447
10/13/2021,MP,1
10/13/2021,HI,113
10/13/2021,CO,2461
10/13/2021,OH,5648
10/13/2021,SD,1088
10/13/2021,RMI,0
10/13/2021,TN,1886
10/13/2021,NM,708
10/13/2021,TX,8849
10/13/2021,OK,1182
10/13/2021,AS,0
10/13/2021,GA,2011
10/13/2021,PW,0
10/13/2021,PR,150
10/13/2021,AR,694
10/13/2021,NY,3519
10/13/2021,IA,356
10/13/2021,PA,5012
10/13/2021,MS,528
10/13/2021,MD,1123
10/13/2021,NV,728
10/13/2021,DE,321
10/13/2021,MI,6043
10/13/2021,VI,13
10/13/2021,GU,95
10/13/2021,ND,623
10/13/2021,IN,2695
10/13/2021,ID,2024
10/13/2021,CA,6196
10/13/2021,AL,779
10/13/2021,MN,2376
10/13/2021,KY,2009
10/13/2021,RI,296
10/13/2021,FSM,0
10/13/2021,SC,954
10/13/2021,DC,48
10/13/2021,LA,551
10/13/2021,NJ,1746
10/13/2021,VA,2602
10/12/2021,AL,869
10/12/2021,MD,1113
10/12/2021,NH,1384
10/12/2021,NV,972
10/12/2021,VI,5
10/12/2021,ND,661
10/12/2021,WA,1885
10/12/2021,MS,719
10/12/2021,ME,888
10/12/2021,VT,111
10/12/2021,MT,554
10/12/2021,KY,2044
10/12/2021,MN,7925
10/12/2021,DC,109
10/12/2021,FSM,0
10/12/2021,OR,1351
10/12/2021,AZ,2029
10/12/2021,RI,63
10/12/2021,LA,1129
10/12/2021,KS,1060
10/12/2021,GA,1758
10/12/2021,CO,2000
10/12/2021,UT,1093
10/12/2021,MP,0
10/12/2021,PW,0
10/12/2021,FL,2586
10/12/2021,IA,2060
10/12/2021,TN,2397
10/12/2021,NY,2348
10/12/2021,SD,108
10/12/2021,AK,444
10/12/2021,MA,1160
10/12/2021,NYC,1177
10/12/2021,TX,9217
10/12/2021,AR,733
10/12/2021,PR,112
10/12/2021,HI,49
10/12/2021,WV,753
10/12/2021,OK,1214
10/12/2021,AS,0
10/12/2021,PA,3898
10/12/2021,RMI,0
10/12/2021,NM,609
10/12/2021,OH,4456
10/12/2021,CT,372
10/12/2021,IL,1967
10/12/2021,DE,165
10/12/2021,NC,2148
10/12/2021,MO,1330
10/12/2021,CA,3356
10/12/2021,GU,134
10/12/2021,WI,3292
10/12/2021,MI,4833
10/12/2021,NE,838
10/12/2021,ID,971
10/12/2021,IN,1601
10/12/2021,VA,2360
10/12/2021,NJ,1642
10/12/2021,SC,983
10/12/2021,WY,483
10/11/2021,NH,213
10/11/2021,DE,359
10/11/2021,CA,3728
10/11/2021,VI,5
10/11/2021,CT,367
10/11/2021,MO,988
10/11/2021,ME,-1
10/11/2021,MT,554
10/11/2021,GU,185
10/11/2021,NE,349
10/11/2021,VT,211
10/11/2021,OR,960
10/11/2021,NJ,954
10/11/2021,RI,261
10/11/2021,LA,490
10/11/2021,FSM,0
10/11/2021,KY,1865
10/11/2021,VA,1644
10/11/2021,AS,0
10/11/2021,TX,2586
10/11/2021,WV,757
10/11/2021,OK,824
10/11/2021,KS,567
10/11/2021,NM,606
10/11/2021,NY,3783
10/11/2021,HI,107
10/11/2021,MP,8
10/11/2021,GA,1752
10/11/2021,NYC,945
10/11/2021,MA,1155
10/11/2021,PW,0
10/11/2021,UT,1091
10/11/2021,PR,16
10/11/2021,FL,2674
10/11/2021,AK,913
10/11/2021,CO,1962
10/11/2021,AR,217
